	00:00:01.220	1.22	00:00:02.750	2.75	00:00:01.530	1.53	
	00:00:07.170	7.17	00:00:08.310	8.31	00:00:01.140	1.14	
	00:00:10.310	10.31	00:00:12.010	12.01	00:00:01.700	1.7	
	00:00:13.850	13.85	00:00:15.370	15.37	00:00:01.520	1.52	
	00:00:16.880	16.88	00:00:18.450	18.45	00:00:01.570	1.57	
	00:00:19.850	19.85	00:00:21.340	21.34	00:00:01.490	1.49	
	00:00:23.140	23.14	00:00:24.610	24.61	00:00:01.470	1.47	
	00:00:26.339	26.339	00:00:27.930	27.93	00:00:01.591	1.591	
	00:00:29.852	29.852	00:00:31.100	31.1	00:00:01.248	1.248	
	00:00:32.970	32.97	00:00:34.390	34.39	00:00:01.420	1.42	
	00:00:36.059	36.059	00:00:37.740	37.74	00:00:01.681	1.681	
	00:00:39.570	39.57	00:00:40.810	40.81	00:00:01.240	1.24	
	00:00:42.540	42.54	00:00:44.190	44.19	00:00:01.650	1.65	
	00:00:45.650	45.65	00:00:47.100	47.1	00:00:01.450	1.45	
	00:00:48.679	48.679	00:00:50.250	50.25	00:00:01.571	1.571	
	00:00:51.933	51.933	00:00:53.580	53.58	00:00:01.647	1.647	
	00:00:55.210	55.21	00:00:56.880	56.88	00:00:01.670	1.67	
	00:00:58.243	58.243	00:00:59.794	59.794	00:00:01.551	1.551	
	00:01:01.020	61.02	00:01:02.540	62.54	00:00:01.520	1.52	
	00:01:04.140	64.14	00:01:05.730	65.73	00:00:01.590	1.59	
	00:01:07.287	67.287	00:01:09.010	69.01	00:00:01.723	1.723	
	00:01:10.570	70.57	00:01:12.410	72.41	00:00:01.840	1.84	
	00:01:13.980	73.98	00:01:15.540	75.54	00:00:01.560	1.56	
	00:01:17.140	77.14	00:01:18.800	78.8	00:00:01.660	1.66	
	00:01:20.110	80.11	00:01:21.840	81.84	00:00:01.730	1.73	
	00:01:23.396	83.396	00:01:24.900	84.9	00:00:01.504	1.504	
	00:01:26.660	86.66	00:01:28.130	88.13	00:00:01.470	1.47	
	00:01:29.380	89.38	00:01:30.920	90.92	00:00:01.540	1.54	
	00:01:32.020	92.02	00:01:33.330	93.33	00:00:01.310	1.31	
	00:01:34.750	94.75	00:01:36.430	96.43	00:00:01.680	1.68	
	00:01:37.671	97.671	00:01:39.380	99.38	00:00:01.709	1.709	
	00:01:40.740	100.74	00:01:42.450	102.45	00:00:01.710	1.71	
	00:01:43.970	103.97	00:01:45.650	105.65	00:00:01.680	1.68	
	00:01:47.296	107.296	00:01:49.210	109.21	00:00:01.914	1.914	
	00:01:51.037	111.037	00:01:52.560	112.56	00:00:01.523	1.523	
	00:01:54.180	114.18	00:01:55.860	115.86	00:00:01.680	1.68	
	00:01:57.150	117.15	00:01:58.420	118.42	00:00:01.270	1.27	
