	00:00:01.320	1.32	00:00:03.470	3.47	00:00:02.150	2.15	
	00:00:04.920	4.92	00:00:07.190	7.19	00:00:02.270	2.27	
	00:00:08.580	8.58	00:00:10.820	10.82	00:00:02.240	2.24	
	00:00:12.040	12.04	00:00:14.170	14.17	00:00:02.130	2.13	
	00:00:15.620	15.62	00:00:17.700	17.7	00:00:02.080	2.08	
	00:00:19.060	19.06	00:00:21.060	21.06	00:00:02.000	2.0	
	00:00:22.542	22.542	00:00:24.670	24.67	00:00:02.128	2.128	
	00:00:25.520	25.52	00:00:27.820	27.82	00:00:02.300	2.3	
	00:00:28.740	28.74	00:00:31.340	31.34	00:00:02.600	2.6	
	00:00:32.170	32.17	00:00:34.400	34.4	00:00:02.230	2.23	
	00:00:35.450	35.45	00:00:37.650	37.65	00:00:02.200	2.2	
	00:00:38.630	38.63	00:00:41.190	41.19	00:00:02.560	2.56	
	00:00:41.800	41.8	00:00:44.110	44.11	00:00:02.310	2.31	
	00:00:45.320	45.32	00:00:47.520	47.52	00:00:02.200	2.2	
	00:00:48.820	48.82	00:00:51.320	51.32	00:00:02.500	2.5	
	00:00:52.270	52.27	00:00:54.570	54.57	00:00:02.300	2.3	
